timestamp,mx,my,mz
1463127774397104617,2870.0,-3165.0,-6507.0
1463127774399173211,3145.0,-3126.0,-6311.0
1463127774404882430,3145.0,-3126.0,-6311.0
1463127774408113263,2870.0,2182.0,-766.0
1463127774459818940,2870.0,2182.0,-766.0
1463127774461881648,2909.0,2143.0,-727.0
1463127774464097638,2909.0,2143.0,-727.0
1463127774466566076,2831.0,2221.0,-806.0
1463127774469103159,2831.0,2221.0,-806.0
1463127774478096440,2831.0,2064.0,-491.0
1463127774482776180,2831.0,2064.0,-491.0
1463127774485492273,2831.0,2143.0,-727.0
1463127774494254461,2831.0,2143.0,-727.0
1463127774548289565,2870.0,1946.0,-609.0
1463127774551399357,2870.0,1946.0,-609.0
1463127774554575346,2909.0,2064.0,-727.0
1463127774559120555,2909.0,2064.0,-727.0
1463127774561799357,3027.0,2182.0,-688.0
1463127774565363003,3027.0,2182.0,-688.0
1463127774568241023,2831.0,1828.0,-648.0
1463127774574138107,2831.0,1828.0,-648.0
1463127774667596075,2870.0,2025.0,-845.0
1463127774670442378,2870.0,2025.0,-845.0
1463127774673892065,3067.0,2064.0,-806.0
1463127774676693888,3067.0,2064.0,-806.0
1463127774730129096,2791.0,2025.0,-688.0
1463127774737398055,2791.0,2025.0,-688.0
1463127774746586127,2949.0,1946.0,-452.0
1463127774749114565,2949.0,1946.0,-452.0
1463127774752913888,2870.0,1789.0,-924.0
1463127774754256596,2870.0,1789.0,-924.0
1463127774755243002,2752.0,2064.0,-963.0
1463127774756222117,2752.0,2064.0,-963.0
1463127774757616336,2909.0,1985.0,-884.0
1463127774758598002,2909.0,1985.0,-884.0
1463127774759869565,2870.0,1946.0,-845.0
1463127774761263940,2870.0,1946.0,-845.0
1463127774762584825,2949.0,1946.0,-845.0
1463127774767139982,2949.0,1946.0,-845.0
1463127774819008627,2831.0,2143.0,-727.0
1463127774821601961,2831.0,2143.0,-727.0
1463127774824254982,2791.0,1946.0,-766.0
1463127774831699200,2791.0,1946.0,-766.0
1463127774834016127,2752.0,1828.0,-727.0
1463127774836445971,2752.0,1828.0,-727.0
1463127774846293523,2988.0,1985.0,-727.0
1463127774848932065,2988.0,1985.0,-727.0
1463127774851471232,2752.0,2064.0,-648.0
1463127774905519565,2752.0,2064.0,-648.0
1463127774907808627,2673.0,2064.0,-806.0
1463127774910337898,2673.0,2064.0,-806.0
1463127774918918211,2949.0,2025.0,-845.0
1463127774921603107,2949.0,2025.0,-845.0
1463127774923973836,2791.0,2025.0,-1002.0
1463127774926563784,2791.0,2025.0,-1002.0
1463127774933972690,2870.0,2025.0,-688.0
1463127774936643627,2870.0,2025.0,-688.0
1463127774994513367,2713.0,1867.0,-766.0
1463127774996702013,2713.0,1867.0,-766.0
1463127775002875659,2791.0,1710.0,-845.0
1463127775005340867,2791.0,1710.0,-845.0
1463127775007883367,2988.0,1985.0,-727.0
1463127775010322638,2988.0,1985.0,-727.0
1463127775016392950,2949.0,2025.0,-530.0
1463127775019059565,2949.0,2025.0,-530.0
1463127775026556440,2752.0,2143.0,-727.0
1463127775082067117,2752.0,2143.0,-727.0
1463127775084186961,2870.0,1867.0,-688.0
1463127775090342950,2870.0,1867.0,-688.0
1463127775092828471,2870.0,1867.0,-1002.0
1463127775095325971,2870.0,1867.0,-1002.0
1463127775097817221,2555.0,1710.0,-924.0
1463127775100389773,2555.0,1710.0,-924.0
1463127775109063627,2634.0,1867.0,-1002.0
1463127775115336388,2634.0,1867.0,-1002.0
1463127775169078627,2516.0,1985.0,-884.0
1463127775186748992,2516.0,1985.0,-884.0
1463127775189372534,2870.0,1867.0,-845.0
1463127775196872950,2870.0,1867.0,-845.0
1463127775199365190,2673.0,1985.0,-806.0
1463127775202005763,2673.0,1985.0,-806.0
1463127775204337169,2909.0,1828.0,-727.0
1463127775260057013,2909.0,1828.0,-727.0
1463127775264265606,2752.0,1907.0,-806.0
1463127775348576596,2752.0,1907.0,-806.0
1463127775349905867,2870.0,2025.0,-1002.0
1463127775352033888,2870.0,2025.0,-1002.0
1463127775354114981,2988.0,1828.0,-963.0
1463127775355133419,2988.0,1828.0,-963.0
1463127775357808263,2713.0,1946.0,-845.0
1463127775361347586,2713.0,1946.0,-845.0
1463127775363247898,2909.0,1828.0,-806.0
1463127775365871700,2909.0,1828.0,-806.0
1463127775373014409,2870.0,1789.0,-924.0
1463127775374081909,2870.0,1789.0,-924.0
1463127775375620919,2752.0,1907.0,-806.0
1463127775376635867,2752.0,1907.0,-806.0
1463127775378779877,2791.0,2025.0,-688.0
1463127775379847481,2791.0,2025.0,-688.0
1463127775380867013,2909.0,2143.0,-727.0
1463127775383223523,2909.0,2143.0,-727.0
1463127775434263263,2988.0,2064.0,-884.0
1463127775441617950,2988.0,2064.0,-884.0
1463127775443997846,2752.0,1907.0,-727.0
1463127775446444513,2752.0,1907.0,-727.0
1463127775448993263,2870.0,2025.0,-845.0
1463127775451502221,2870.0,2025.0,-845.0
1463127775457814513,2791.0,2103.0,-845.0
1463127775460360450,2791.0,2103.0,-845.0
1463127775466893263,2752.0,1907.0,-806.0
1463127775522072742,2752.0,1907.0,-806.0
1463127775524914148,2791.0,1789.0,-924.0
1463127775528053419,2791.0,1789.0,-924.0
1463127775530714304,2831.0,1828.0,-963.0
1463127775533675086,2831.0,1828.0,-963.0
1463127775535573992,2949.0,1946.0,-924.0
1463127775538080554,2949.0,1946.0,-924.0
1463127775546854200,2634.0,2182.0,-845.0
1463127775555714565,2634.0,2182.0,-845.0
1463127775610757898,2673.0,1828.0,-884.0
1463127775613476960,2673.0,1828.0,-884.0
1463127775615222585,2752.0,1985.0,-727.0
1463127775617690138,2752.0,1985.0,-727.0
1463127775620158575,2634.0,2025.0,-845.0
1463127775622703315,2634.0,2025.0,-845.0
1463127775628917742,2634.0,2025.0,-845.0
1463127775635198315,2634.0,2025.0,-845.0
1463127775698464408,2791.0,2103.0,-530.0
1463127775700458106,2791.0,2103.0,-530.0
1463127775702904304,2555.0,1946.0,-924.0
1463127775705427481,2555.0,1946.0,-924.0
1463127775707913679,2791.0,2182.0,-688.0
1463127775710346752,2791.0,2182.0,-688.0
1463127775713540815,2595.0,2143.0,-884.0
1463127775721918940,2595.0,2143.0,-884.0
1463127775726894773,2713.0,2103.0,-845.0
1463127775788174148,2713.0,2103.0,-845.0
1463127775790430606,2870.0,1867.0,-845.0
1463127775792859200,2870.0,1867.0,-845.0
1463127775795322742,2634.0,1946.0,-845.0
1463127775797850502,2634.0,1946.0,-845.0
1463127775800383158,2673.0,1828.0,-648.0
1463127775802826752,2673.0,1828.0,-648.0
1463127775809143888,2713.0,1946.0,-1002.0
1463127775815314148,2713.0,1946.0,-1002.0
1463127775872926492,2713.0,2103.0,-845.0
1463127775875222585,2713.0,2103.0,-845.0
1463127775877736440,2831.0,2064.0,-963.0
1463127775883866908,2831.0,2064.0,-963.0
1463127775886403731,2831.0,1985.0,-648.0
1463127775888890919,2831.0,1985.0,-648.0
1463127775896155971,2791.0,2025.0,-845.0
1463127775900146179,2791.0,2025.0,-845.0
