timestamp,gx,gy,gz
1463127774397104617,-13.0,21.0,-8.0
1463127774399173211,-7.0,31.0,-17.0
1463127774404882430,-15.0,6.0,-19.0
1463127774408113263,-17.0,-7.0,-17.0
1463127774459818940,-11.0,5.0,-6.0
1463127774461881648,-11.0,27.0,-14.0
1463127774464097638,-13.0,17.0,-11.0
1463127774466566076,-15.0,-6.0,-12.0
1463127774469103159,-12.0,-1.0,-10.0
1463127774478096440,-2.0,20.0,-10.0
1463127774482776180,-3.0,13.0,-9.0
1463127774485492273,-2.0,10.0,-3.0
1463127774494254461,-1.0,30.0,-10.0
1463127774548289565,-7.0,4.0,-7.0
1463127774551399357,-9.0,-10.0,-6.0
1463127774554575346,-5.0,17.0,-12.0
1463127774559120555,-4.0,11.0,-8.0
1463127774561799357,-9.0,7.0,-11.0
1463127774565363003,-5.0,21.0,-5.0
1463127774568241023,-2.0,25.0,-3.0
1463127774574138107,-11.0,28.0,-8.0
1463127774667596075,-17.0,18.0,-10.0
1463127774670442378,-20.0,2.0,-2.0
1463127774673892065,-19.0,-1.0,-2.0
1463127774676693888,-24.0,-1.0,-1.0
1463127774730129096,-25.0,-5.0,-3.0
1463127774737398055,-24.0,-13.0,-1.0
1463127774746586127,-20.0,-19.0,-2.0
1463127774749114565,-15.0,-23.0,-1.0
1463127774752913888,-8.0,-33.0,-1.0
1463127774754256596,-4.0,-39.0,1.0
1463127774755243002,-8.0,-8.0,-11.0
1463127774756222117,1.0,2.0,4.0
1463127774757616336,-3.0,-8.0,-5.0
1463127774758598002,-4.0,-21.0,-5.0
1463127774759869565,-1.0,-23.0,-2.0
1463127774761263940,3.0,-32.0,-5.0
1463127774762584825,12.0,-55.0,0.0
1463127774767139982,24.0,-82.0,-4.0
1463127774819008627,29.0,-72.0,-9.0
1463127774821601961,29.0,-10.0,-10.0
1463127774824254982,24.0,25.0,-5.0
1463127774831699200,26.0,-6.0,-3.0
1463127774834016127,3.0,-40.0,-8.0
1463127774836445971,-11.0,-41.0,-8.0
1463127774846293523,-13.0,1.0,6.0
1463127774848932065,-7.0,33.0,11.0
1463127774851471232,-20.0,25.0,12.0
1463127774905519565,-41.0,38.0,20.0
1463127774907808627,-49.0,54.0,38.0
1463127774910337898,-47.0,21.0,30.0
1463127774918918211,-47.0,-44.0,18.0
1463127774921603107,-45.0,-88.0,9.0
1463127774923973836,-20.0,-50.0,0.0
1463127774926563784,11.0,-44.0,3.0
1463127774933972690,18.0,-66.0,-9.0
1463127774936643627,37.0,-44.0,-14.0
1463127774994513367,41.0,-21.0,-7.0
1463127774996702013,36.0,12.0,-11.0
1463127775002875659,29.0,29.0,-9.0
1463127775005340867,13.0,17.0,-10.0
1463127775007883367,-10.0,35.0,-12.0
1463127775010322638,-10.0,20.0,-1.0
1463127775016392950,-25.0,-9.0,-13.0
1463127775019059565,-37.0,11.0,-9.0
1463127775026556440,-32.0,41.0,5.0
1463127775082067117,-34.0,49.0,5.0
1463127775084186961,-34.0,42.0,7.0
1463127775090342950,-25.0,-7.0,15.0
1463127775092828471,-40.0,-23.0,3.0
1463127775095325971,-24.0,15.0,2.0
1463127775097817221,-5.0,-23.0,5.0
1463127775100389773,0.0,-63.0,-10.0
1463127775109063627,26.0,-62.0,-5.0
1463127775115336388,41.0,-55.0,-10.0
1463127775169078627,58.0,-34.0,-12.0
1463127775186748992,58.0,-12.0,-14.0
1463127775189372534,42.0,28.0,-14.0
1463127775196872950,38.0,36.0,0.0
1463127775199365190,14.0,-17.0,-13.0
1463127775202005763,-13.0,-21.0,-14.0
1463127775204337169,-10.0,27.0,3.0
1463127775260057013,-23.0,32.0,10.0
1463127775264265606,-44.0,31.0,12.0
1463127775348576596,-50.0,51.0,21.0
1463127775349905867,-51.0,49.0,19.0
1463127775352033888,-40.0,4.0,13.0
