timestamp,ax,ay,az
1463127774397104617,225.0,-647.0,1838.0
1463127774399173211,172.0,-642.0,1900.0
1463127774404882430,174.0,-640.0,1887.0
1463127774408113263,227.0,-653.0,1895.0
1463127774459818940,244.0,-657.0,1855.0
1463127774461881648,230.0,-645.0,1884.0
1463127774464097638,168.0,-630.0,1886.0
1463127774466566076,196.0,-633.0,1849.0
1463127774469103159,217.0,-635.0,1856.0
1463127774478096440,217.0,-643.0,1878.0
1463127774482776180,207.0,-655.0,1900.0
1463127774485492273,233.0,-660.0,1833.0
1463127774494254461,213.0,-630.0,1878.0
1463127774548289565,175.0,-645.0,1928.0
1463127774551399357,210.0,-663.0,1825.0
1463127774554575346,220.0,-638.0,1855.0
1463127774559120555,167.0,-641.0,1901.0
1463127774561799357,213.0,-644.0,1894.0
1463127774565363003,216.0,-639.0,1884.0
1463127774568241023,187.0,-643.0,1905.0
1463127774574138107,196.0,-631.0,1894.0
1463127774667596075,188.0,-634.0,1922.0
1463127774670442378,219.0,-648.0,1900.0
1463127774673892065,220.0,-639.0,1900.0
1463127774676693888,199.0,-640.0,1894.0
1463127774730129096,186.0,-646.0,1859.0
1463127774737398055,179.0,-653.0,1859.0
1463127774746586127,173.0,-647.0,1840.0
1463127774749114565,174.0,-651.0,1832.0
1463127774752913888,180.0,-656.0,1862.0
1463127774754256596,209.0,-661.0,1825.0
1463127774755243002,223.0,-640.0,1916.0
1463127774756222117,213.0,-652.0,1906.0
1463127774757616336,187.0,-644.0,1897.0
1463127774758598002,217.0,-653.0,1857.0
1463127774759869565,192.0,-650.0,1856.0
1463127774761263940,205.0,-640.0,1848.0
1463127774762584825,184.0,-658.0,1808.0
1463127774767139982,172.0,-630.0,1818.0
1463127774819008627,206.0,-631.0,1853.0
1463127774821601961,261.0,-628.0,1860.0
1463127774824254982,256.0,-638.0,1993.0
1463127774831699200,156.0,-674.0,1934.0
1463127774834016127,168.0,-662.0,1905.0
1463127774836445971,237.0,-648.0,1916.0
1463127774846293523,297.0,-635.0,1942.0
1463127774848932065,279.0,-615.0,1963.0
1463127774851471232,223.0,-631.0,1968.0
1463127774905519565,236.0,-630.0,1965.0
1463127774907808627,233.0,-653.0,1941.0
1463127774910337898,141.0,-647.0,1886.0
1463127774918918211,129.0,-634.0,1833.0
1463127774921603107,194.0,-633.0,1699.0
1463127774923973836,260.0,-655.0,1700.0
1463127774926563784,164.0,-666.0,1741.0
1463127774933972690,175.0,-640.0,1774.0
1463127774936643627,215.0,-658.0,1788.0
1463127774994513367,205.0,-644.0,1873.0
1463127774996702013,235.0,-643.0,1913.0
1463127775002875659,220.0,-661.0,1959.0
1463127775005340867,215.0,-660.0,1970.0
1463127775007883367,267.0,-642.0,1994.0
1463127775010322638,225.0,-658.0,1975.0
1463127775016392950,210.0,-628.0,1947.0
1463127775019059565,282.0,-625.0,1887.0
1463127775026556440,254.0,-635.0,1889.0
1463127775082067117,202.0,-626.0,1907.0
1463127775084186961,192.0,-637.0,1894.0
1463127775090342950,152.0,-655.0,1843.0
1463127775092828471,196.0,-613.0,1837.0
1463127775095325971,227.0,-641.0,1811.0
1463127775097817221,132.0,-653.0,1792.0
1463127775100389773,182.0,-633.0,1742.0
1463127775109063627,202.0,-651.0,1736.0
1463127775115336388,210.0,-654.0,1776.0
1463127775169078627,233.0,-651.0,1843.0
1463127775186748992,217.0,-655.0,1895.0
1463127775189372534,263.0,-640.0,1973.0
1463127775196872950,219.0,-658.0,1987.0
1463127775199365190,179.0,-664.0,1992.0
1463127775202005763,307.0,-661.0,1968.0
1463127775204337169,285.0,-653.0,1973.0
1463127775260057013,233.0,-621.0,1978.0
1463127775264265606,245.0,-615.0,1933.0
1463127775348576596,202.0,-632.0,1911.0
1463127775349905867,161.0,-617.0,1873.0
1463127775352033888,143.0,-644.0,1813.0
1463127775354114981,188.0,-630.0,1772.0
1463127775355133419,263.0,-640.0,1770.0
1463127775357808263,172.0,-650.0,1776.0
1463127775361347586,189.0,-635.0,1768.0
1463127775363247898,214.0,-638.0,1805.0
1463127775365871700,198.0,-642.0,1847.0
1463127775373014409,232.0,-657.0,1896.0
1463127775374081909,230.0,-662.0,1924.0
1463127775375620919,221.0,-648.0,1930.0
1463127775376635867,251.0,-634.0,1956.0
1463127775378779877,186.0,-671.0,1899.0
1463127775379847481,172.0,-641.0,1883.0
1463127775380867013,281.0,-629.0,1859.0
1463127775383223523,255.0,-640.0,1880.0
1463127775434263263,238.0,-615.0,1940.0
1463127775441617950,241.0,-623.0,1938.0
1463127775443997846,200.0,-639.0,1956.0
1463127775446444513,197.0,-628.0,1924.0
1463127775448993263,208.0,-634.0,1891.0
1463127775451502221,208.0,-635.0,1882.0
1463127775457814513,210.0,-638.0,1845.0
1463127775460360450,206.0,-640.0,1833.0
1463127775466893263,203.0,-643.0,1828.0
1463127775522072742,179.0,-673.0,1824.0
1463127775524914148,223.0,-641.0,1822.0
1463127775528053419,227.0,-664.0,1840.0
1463127775530714304,158.0,-659.0,1855.0
1463127775533675086,210.0,-649.0,1833.0
1463127775535573992,206.0,-664.0,1829.0
1463127775538080554,214.0,-645.0,1853.0
1463127775546854200,228.0,-654.0,1854.0
1463127775555714565,214.0,-635.0,1876.0
1463127775610757898,224.0,-633.0,1911.0
1463127775613476960,235.0,-640.0,1892.0
1463127775615222585,213.0,-630.0,1946.0
1463127775617690138,158.0,-641.0,1901.0
1463127775620158575,238.0,-633.0,1871.0
1463127775622703315,275.0,-635.0,1876.0
1463127775628917742,236.0,-647.0,1906.0
1463127775635198315,213.0,-630.0,1899.0
1463127775698464408,214.0,-634.0,1905.0
1463127775700458106,216.0,-633.0,1898.0
1463127775702904304,226.0,-641.0,1914.0
1463127775705427481,235.0,-628.0,1903.0
1463127775707913679,248.0,-635.0,1932.0
1463127775710346752,218.0,-635.0,1920.0
1463127775713540815,221.0,-638.0,1916.0
1463127775721918940,212.0,-652.0,1884.0
1463127775726894773,184.0,-646.0,1844.0
1463127775788174148,201.0,-633.0,1836.0
